Time,power_kW
2019-09-30 0:00:00,272.8954
2019-09-30 0:05:00,273.5255
2019-09-30 0:10:00,274.5477
2019-09-30 0:15:00,275.4971
2019-09-30 0:20:00,274.5478
2019-09-30 0:25:00,274.2603
2019-09-30 0:30:00,277.3877
2019-09-30 0:35:00,271.7071
2019-09-30 0:40:00,270.7382
2019-09-30 0:45:00,269.5456
2019-09-30 0:50:00,268.9217
2019-09-30 0:55:00,266.441
2019-09-30 1:00:00,268.1994
2019-09-30 1:05:00,267.4734
2019-09-30 1:10:00,271.5113
2019-09-30 1:15:00,266.7698
2019-09-30 1:20:00,271.6247
2019-09-30 1:25:00,270.5752
2019-09-30 1:30:00,270.7271
2019-09-30 1:35:00,272.6709
2019-09-30 1:40:00,275.6089
2019-09-30 1:45:00,274.724
2019-09-30 1:50:00,268.4443
2019-09-30 1:55:00,265.612
2019-09-30 2:00:00,266.528
2019-09-30 2:05:00,267.1884
2019-09-30 2:10:00,263.7613
2019-09-30 2:15:00,263.3456
2019-09-30 2:20:00,264.7255
2019-09-30 2:25:00,265.2212
2019-09-30 2:30:00,249.7827
2019-09-30 2:35:00,264.0754
2019-09-30 2:40:00,253.1967
2019-09-30 2:45:00,264.7147
2019-09-30 2:50:00,246.6137
2019-09-30 2:55:00,251.2688
2019-09-30 3:00:00,247.5531
2019-09-30 3:05:00,249.7337
2019-09-30 3:10:00,246.4855
2019-09-30 3:15:00,249.3595
2019-09-30 3:20:00,246.9212
2019-09-30 3:25:00,251.2346
2019-09-30 3:30:00,251.001
2019-09-30 3:35:00,248.1464
2019-09-30 3:40:00,252.1788
2019-09-30 3:45:00,244.0421
2019-09-30 3:50:00,239.7101
2019-09-30 3:55:00,213.0567
2019-09-30 4:00:00,237.6432
2019-09-30 4:05:00,233.4519
2019-09-30 4:10:00,199.1199
2019-09-30 4:15:00,205.2552
2019-09-30 4:20:00,206.2831
2019-09-30 4:25:00,204.0926
2019-09-30 4:30:00,203.817
2019-09-30 4:35:00,206.8036
2019-09-30 4:40:00,202.7204
2019-09-30 4:45:00,207.5407
2019-09-30 4:50:00,209.0466
2019-09-30 4:55:00,203.6746
2019-09-30 5:00:00,206.7524
2019-09-30 5:05:00,204.8537
2019-09-30 5:10:00,206.2913
2019-09-30 5:15:00,206.9253
2019-09-30 5:20:00,203.8756
2019-09-30 5:25:00,202.7862
2019-09-30 5:30:00,207.5667
2019-09-30 5:35:00,205.1306
2019-09-30 5:40:00,202.7741
2019-09-30 5:45:00,207.0192
2019-09-30 5:50:00,206.4272
2019-09-30 5:55:00,201.7527
2019-09-30 6:00:00,207.7108
2019-09-30 6:05:00,201.1515
2019-09-30 6:10:00,200.6754
2019-09-30 6:15:00,199.1339
2019-09-30 6:20:00,201.9269
2019-09-30 6:25:00,203.2326
2019-09-30 6:30:00,203.2436
2019-09-30 6:35:00,199.9169
2019-09-30 6:40:00,199.736
2019-09-30 6:45:00,219.1201
2019-09-30 6:50:00,201.3532
2019-09-30 6:55:00,193.3449
2019-09-30 7:00:00,192.3988
2019-09-30 7:05:00,186.7557
2019-09-30 7:10:00,184.7485
2019-09-30 7:15:00,201.0289
2019-09-30 7:20:00,193.3071
2019-09-30 7:25:00,195.9207
2019-09-30 7:30:00,194.3742
2019-09-30 7:35:00,190.9728
2019-09-30 7:40:00,190.6583
2019-09-30 7:45:00,193.7167
2019-09-30 7:50:00,193.7059
2019-09-30 7:55:00,201.1336
2019-09-30 8:00:00,197.5268
2019-09-30 8:05:00,200.3385
2019-09-30 8:10:00,198.3875
2019-09-30 8:15:00,263.9636
2019-09-30 8:20:00,265.2087
2019-09-30 8:25:00,286.352
2019-09-30 8:30:00,270.47
2019-09-30 8:35:00,273.6714
2019-09-30 8:40:00,273.3418
2019-09-30 8:45:00,282.3453
2019-09-30 8:50:00,283.5256
2019-09-30 8:55:00,294.3346
2019-09-30 9:00:00,297.5856
2019-09-30 9:05:00,323.727
2019-09-30 9:10:00,326.0039
2019-09-30 9:15:00,325.7906
2019-09-30 9:20:00,312.2331
2019-09-30 9:25:00,314.4825
2019-09-30 9:30:00,319.7572
2019-09-30 9:35:00,315.4507
2019-09-30 9:40:00,326.0647
2019-09-30 9:45:00,331.1546
2019-09-30 9:50:00,319.2899
2019-09-30 9:55:00,326.8001
2019-09-30 10:00:00,340.641
2019-09-30 10:05:00,331.5675
2019-09-30 10:10:00,338.3839
2019-09-30 10:15:00,358.551
2019-09-30 10:20:00,349.1834
2019-09-30 10:25:00,349.5005
2019-09-30 10:30:00,336.8265
2019-09-30 10:35:00,337.5584
2019-09-30 10:40:00,337.6659
2019-09-30 10:45:00,359.279
2019-09-30 10:50:00,347.4104
2019-09-30 10:55:00,370.4321
2019-09-30 11:00:00,371.9152
2019-09-30 11:05:00,346.9375
2019-09-30 11:10:00,348.4075
2019-09-30 11:15:00,348.586
2019-09-30 11:20:00,371.5534
2019-09-30 11:25:00,356.7487
2019-09-30 11:30:00,351.3107
2019-09-30 11:35:00,360.2787
2019-09-30 11:40:00,355.8594
2019-09-30 11:45:00,358.0789
2019-09-30 11:50:00,355.3767
2019-09-30 11:55:00,366.4015
2019-09-30 12:00:00,352.0606
2019-09-30 12:05:00,355.0671
2019-09-30 12:10:00,350.3201
2019-09-30 12:15:00,361.8002
2019-09-30 12:20:00,353.3873
2019-09-30 12:25:00,355.6369
2019-09-30 12:30:00,354.9232
2019-09-30 12:35:00,371.3622
2019-09-30 12:40:00,352.9022
2019-09-30 12:45:00,350.1676
2019-09-30 12:50:00,350.551
2019-09-30 12:55:00,346.1589
2019-09-30 13:00:00,356.5207
2019-09-30 13:05:00,350.3777
2019-09-30 13:10:00,356.7018
2019-09-30 13:15:00,351.6361
2019-09-30 13:20:00,351.4035
2019-09-30 13:25:00,345.1488
2019-09-30 13:30:00,341.6552
2019-09-30 13:35:00,346.5366
2019-09-30 13:40:00,360.4252
2019-09-30 13:45:00,351.7794
2019-09-30 13:50:00,357.8095
2019-09-30 13:55:00,359.4044
2019-09-30 14:00:00,351.732
2019-09-30 14:05:00,349.3458
2019-09-30 14:10:00,352.4258
2019-09-30 14:15:00,362.9947
2019-09-30 14:20:00,358.2543
2019-09-30 14:25:00,383.3913
2019-09-30 14:30:00,359.483
2019-09-30 14:35:00,367.6505
2019-09-30 14:40:00,365.6546
2019-09-30 14:45:00,369.9215
2019-09-30 14:50:00,369.1318
2019-09-30 14:55:00,361.6367
2019-09-30 15:00:00,368.333
2019-09-30 15:05:00,353.8158
2019-09-30 15:10:00,374.0544
2019-09-30 15:15:00,374.3949
2019-09-30 15:20:00,374.9581
2019-09-30 15:25:00,365.7354
2019-09-30 15:30:00,366.2185
2019-09-30 15:35:00,368.7461
2019-09-30 15:40:00,365.6787
2019-09-30 15:45:00,370.071
2019-09-30 15:50:00,368.5737
2019-09-30 15:55:00,357.6797
2019-09-30 16:00:00,368.6341
2019-09-30 16:05:00,346.1774
2019-09-30 16:10:00,347.1596
2019-09-30 16:15:00,352.103
2019-09-30 16:20:00,340.256
2019-09-30 16:25:00,355.5302
2019-09-30 16:30:00,345.0995
2019-09-30 16:35:00,352.5387
2019-09-30 16:40:00,346.908
2019-09-30 16:45:00,341.6102
2019-09-30 16:50:00,342.8646
2019-09-30 16:55:00,345.7272
2019-09-30 17:00:00,349.1766
2019-09-30 17:05:00,340.002
2019-09-30 17:10:00,348.8146
2019-09-30 17:15:00,350.4292
2019-09-30 17:20:00,344.9719
2019-09-30 17:25:00,356.6312
2019-09-30 17:30:00,320.4664
2019-09-30 17:35:00,321.4522
2019-09-30 17:40:00,327.9901
2019-09-30 17:45:00,318.4354
2019-09-30 17:50:00,330.2612
2019-09-30 17:55:00,305.6472
2019-09-30 18:00:00,308.3628
2019-09-30 18:05:00,332.5481
2019-09-30 18:10:00,336.6804
2019-09-30 18:15:00,325.5754
2019-09-30 18:20:00,315.4564
2019-09-30 18:25:00,318.1824
2019-09-30 18:30:00,313.798
2019-09-30 18:35:00,309.9593
2019-09-30 18:40:00,319.4688
2019-09-30 18:45:00,309.2908
2019-09-30 18:50:00,304.9077
2019-09-30 18:55:00,313.0779
2019-09-30 19:00:00,305.5618
2019-09-30 19:05:00,314.5072
2019-09-30 19:10:00,313.6384
2019-09-30 19:15:00,318.6262
2019-09-30 19:20:00,301.6698
2019-09-30 19:25:00,307.303
2019-09-30 19:30:00,300.3762
2019-09-30 19:35:00,294.6475
2019-09-30 19:40:00,302.2976
2019-09-30 19:45:00,295.6951
2019-09-30 19:50:00,297.6823
2019-09-30 19:55:00,293.1861
2019-09-30 20:00:00,296.0741
2019-09-30 20:05:00,305.2338
2019-09-30 20:10:00,258.1461
2019-09-30 20:15:00,238.065
2019-09-30 20:20:00,234.9583
2019-09-30 20:25:00,231.6525
2019-09-30 20:30:00,241.7327
2019-09-30 20:35:00,231.4789
2019-09-30 20:40:00,229.1704
2019-09-30 20:45:00,233.6584
2019-09-30 20:50:00,227.8562
2019-09-30 20:55:00,223.8203
2019-09-30 21:00:00,228.5451
2019-09-30 21:05:00,226.1864
2019-09-30 21:10:00,234.4895
2019-09-30 21:15:00,240.496
2019-09-30 21:20:00,226.6434
2019-09-30 21:25:00,223.5498
2019-09-30 21:30:00,221.5467
2019-09-30 21:35:00,233.3754
2019-09-30 21:40:00,222.798
2019-09-30 21:45:00,237.9246
2019-09-30 21:50:00,236.4208
2019-09-30 21:55:00,233.7334
2019-09-30 22:00:00,227.6967
2019-09-30 22:05:00,235.9559
2019-09-30 22:10:00,234.8077
2019-09-30 22:15:00,264.376
2019-09-30 22:20:00,304.1658
2019-09-30 22:25:00,286.2699
2019-09-30 22:30:00,289.1472
2019-09-30 22:35:00,296.3375
2019-09-30 22:40:00,290.9746
2019-09-30 22:45:00,292.0174
2019-09-30 22:50:00,295.6443
2019-09-30 22:55:00,287.2218
2019-09-30 23:00:00,291.3225
2019-09-30 23:05:00,288.5164
2019-09-30 23:10:00,293.3346
2019-09-30 23:15:00,291.3398
2019-09-30 23:20:00,288.9599
2019-09-30 23:25:00,289.3036
2019-09-30 23:30:00,287.4738
2019-09-30 23:35:00,291.4533
2019-09-30 23:40:00,292.2534
2019-09-30 23:45:00,288.5591
2019-09-30 23:50:00,293.0062
2019-09-30 23:55:00,289.9679
2019-10-01 0:00:00,302.5407
2019-10-01 0:05:00,297.4861
2019-10-01 0:10:00,287.0588
2019-10-01 0:15:00,287.6792
2019-10-01 0:20:00,269.8478
2019-10-01 0:25:00,295.553
2019-10-01 0:30:00,282.6024
2019-10-01 0:35:00,265.3995
2019-10-01 0:40:00,272.5143
2019-10-01 0:45:00,270.1607
2019-10-01 0:50:00,270.0327
2019-10-01 0:55:00,266.0513
2019-10-01 1:00:00,274.7726
2019-10-01 1:05:00,259.1834
2019-10-01 1:10:00,262.2833
2019-10-01 1:15:00,261.8901
2019-10-01 1:20:00,264.3354
2019-10-01 1:25:00,260.803
2019-10-01 1:30:00,263.2606
2019-10-01 1:35:00,258.4275
2019-10-01 1:40:00,257.3513
2019-10-01 1:45:00,258.1671
2019-10-01 1:50:00,261.6079
2019-10-01 1:55:00,269.4313
2019-10-01 2:00:00,258.5301
2019-10-01 2:05:00,245.169
2019-10-01 2:10:00,230.2055
2019-10-01 2:15:00,221.5867
2019-10-01 2:20:00,231.2417
2019-10-01 2:25:00,231.3184
2019-10-01 2:30:00,230.1677
2019-10-01 2:35:00,233.5092
2019-10-01 2:40:00,228.948
2019-10-01 2:45:00,224.5673
2019-10-01 2:50:00,224.7187
2019-10-01 2:55:00,226.9373
2019-10-01 3:00:00,229.1538
2019-10-01 3:05:00,227.68
2019-10-01 3:10:00,228.008
2019-10-01 3:15:00,226.8883
2019-10-01 3:20:00,233.36
2019-10-01 3:25:00,245.1731
2019-10-01 3:30:00,252.8107
2019-10-01 3:35:00,257.9864
2019-10-01 3:40:00,259.1703
2019-10-01 3:45:00,255.2106
2019-10-01 3:50:00,257.6291
2019-10-01 3:55:00,262.1645
2019-10-01 4:00:00,254.7371
2019-10-01 4:05:00,217.0514
2019-10-01 4:10:00,212.2877
2019-10-01 4:15:00,204.0441
2019-10-01 4:20:00,204.2062
2019-10-01 4:25:00,203.935
2019-10-01 4:30:00,207.2746
2019-10-01 4:35:00,205.3222
2019-10-01 4:40:00,203.7441
2019-10-01 4:45:00,207.0349
2019-10-01 4:50:00,206.5776
2019-10-01 4:55:00,209.481
2019-10-01 5:00:00,209.0493
2019-10-01 5:05:00,204.8423
2019-10-01 5:10:00,205.2341
2019-10-01 5:15:00,214.2266
2019-10-01 5:20:00,206.2886
2019-10-01 5:25:00,204.9918
2019-10-01 5:30:00,206.8486
2019-10-01 5:35:00,203.9025
2019-10-01 5:40:00,207.5977
2019-10-01 5:45:00,205.5757
2019-10-01 5:50:00,207.6259
2019-10-01 5:55:00,203.3931
2019-10-01 6:00:00,200.8235
2019-10-01 6:05:00,206.3625
2019-10-01 6:10:00,205.1858
2019-10-01 6:15:00,209.4572
2019-10-01 6:20:00,209.1096
2019-10-01 6:25:00,206.3444
2019-10-01 6:30:00,204.2397
2019-10-01 6:35:00,206.4577
2019-10-01 6:40:00,200.8736
2019-10-01 6:45:00,219.1405
2019-10-01 6:50:00,214.0586
2019-10-01 6:55:00,200.3198
2019-10-01 7:00:00,215.1473
2019-10-01 7:05:00,200.5088
2019-10-01 7:10:00,196.5929
2019-10-01 7:15:00,196.974
2019-10-01 7:20:00,190.8442
2019-10-01 7:25:00,200.8962
2019-10-01 7:30:00,201.3138
2019-10-01 7:35:00,198.2889
2019-10-01 7:40:00,200.6412
2019-10-01 7:45:00,199.2107
2019-10-01 7:50:00,204.1844
2019-10-01 7:55:00,207.7182
2019-10-01 8:00:00,204.1859
